Code_Name	Produce List Name	Building Name	X-size	Y-size	Owner	Hit	Armor	Border	Common	Rare Ore	Structure	Building	Normal	Rare Ore	Power	Workers	Scientists	Sight	Docking:	Docking:	Docking:	Docking:	Docking	Docking	Storage	Production	Storage	Can be	Explosion	Resource	Research
MED_CENTER	u	u	2	2	B	1000	2	Y	500	0	Y	500	1	0	20	1	1	5	N	N	N	N			0	50	0	N	0	22	03303
FACT_ANDROID	v	v	2	2	P	1750	4	Y	1500	0	Y	1500	3	0	50	2	0	5	N	N	N	N			0	128	0	Y	0	23	05116
DIRT	w	w	3	2	B	2000	4	Y	1200	0	Y	1200	3	0	20	2	1	5	N	N	N	N			0	10	0	Y	0	21	03301
GARAGE	x	x	3	2	B	1750	4	Y	900	0	Y	1000	3	0	40	3	0	5	Y	N	N	N	2	1	128	32	6	Y	0	24	05102
GORF	y	y	3	2	B	1500	2	Y	800	0	Y	1000	2	0	50	2	0	5	N	Y	N	N	1	3	0	0	0	Y	0	25	03302
RESIDENCE_E	z	z	3	3	E	1250	2	Y	1000	0	Y	500	2	0	20	1	0	5	N	N	N	N			0	50	0	N	0	26	08104
RESIDENCE	0	0	2	2	B	800	2	Y	600	0	Y	300	1	0	20	1	0	5	N	N	N	N			0	25	0	N	0	27	02109
RESIDENCE_P	1	1	3	2	P	1500	2	Y	1000	0	Y	500	2	0	30	1	0	5	N	N	N	N			0	40	0	N	0	28	08105
OBSERVATORY	2	2	2	2	E	875	2	Y	1200	300	Y	1400	3	1	30	1	1	7	N	N	N	N			0	0	0	Y	0	29	08051
METEOR_DEF	3	3	2	2	E	1250	2	Y	1200	600	Y	1100	3	1	100	1	0	5	N	N	N	N			0	0	0	Y	0	30	08106
RECREATION	4	4	2	2	B	875	2	Y	300	0	Y	300	1	0	10	1	0	5	N	N	N	N			0	40	0	N	0	31	03306
FACT_LUXURY	5	5	3	3	E	1250	2	Y	1200	0	Y	1200	3	0	40	2	0	5	N	N	N	N			0	128	0	Y	0	32	05101
FORUM	6	6	2	2	P	1000	2	Y	600	0	Y	600	1	0	20	2	0	5	N	N	N	N			0	75	0	N	0	33	05108
TRADE	7	7	2	2	B	800	2	Y	750	0	Y	500	2	0	10	1	0	5	N	N	N	N			0	0	0	N	0	34	02115
TOWER_LIGHT	8	8	1	1	B	500	0	N	150	0	Y	150	0	0	0	0	0	9	N	N	N	N			0	0	0	N	0	99	02107
MAGMA_WELL	9	9	2	1	E	1000	2	N	700	0	N	700	2	0	0	0	0	5	N	Y	N	N	1	1	0	100	0	Y	3	99	08103
MINE	a1	a1	2	1	B	1000	4	N	300	0	N	300	1	0	0	0	0	5	N	Y	N	N	1	1	0	0	0	Y	0	999	02108
MINE_ADV	b1	b1	2	1	B	1000	4	N	450	0	N	450	1	0	0	0	0	5	N	Y	N	N	1	1	0	0	0	Y	0	999	05110
TUBE	c2	c2	1	1	B	2500	0	N	50	0	N	50	0	0	0	0	0	0	N	N	N	N			0	0	0	N	0	999	02114
WALL	d1	d1	1	1	B	450	0	N	75	0	N	75	0	0	0	0	0	0	N	N	N	N			0	0	0	N	0	999	05106
WALL_LAVA	e1	e1	1	1	B	300	0	N	100	50	N	100	0	0	0	0	0	0	N	N	N	N			0	0	0	N	0	999	05701
WALL_MICROBE	f1	f1	1	1	E	300	0	N	150	50	N	150	0	0	0	0	0	0	N	N	N	N			0	0	0	N	0	999	08401
